date,risk_off_prob,w_stat,w_fund,w_comp,gross_mult
2025-02-10,0.512584180527586,0.4449663277889656,0.4794044631846551,0.0756292090263793,0.7949663277889656
2025-02-11,0.40903514588333545,0.4863859416466658,0.44316230105916743,0.07045175729416678,0.8363859416466658
2025-02-12,0.5153365683732407,0.44386537265070375,0.4803677989306342,0.07576682841866204,0.7938653726507037
2025-02-13,0.4857055083684206,0.4557177966526318,0.4699969279289472,0.07428527541842103,0.8057177966526319
2025-02-14,0.3270872536336123,0.5191650985465551,0.41448053877176433,0.06635436268168063,0.8691650985465551
2025-02-17,0.5168891676392291,0.4432443329443084,0.48091120867373016,0.07584445838196147,0.7932443329443084
2025-02-18,0.42431517949616343,0.48027392820153464,0.44851031282365716,0.07121575897480817,0.8302739282015346
2025-02-19,0.2560574076694475,0.547577036932221,0.38962009268430664,0.06280287038347238,0.897577036932221
2025-02-20,0.38086290258112027,0.49765483896755186,0.4333020159033921,0.06904314512905602,0.8476548389675518
2025-02-21,0.37840841974362904,0.4986366321025484,0.4324429469102702,0.06892042098718146,0.8486366321025484
2025-02-24,0.5795658501438583,0.4181736599424567,0.5028480475503504,0.07897829250719292,0.7681736599424567
2025-02-25,0.14889051124693065,0.5904437955012278,0.35211167893642575,0.05744452556234654,0.9404437955012277
2025-02-26,0.2962543936201454,0.5314982425519419,0.4036890377670509,0.06481271968100727,0.8814982425519419
2025-02-27,0.3794001156932762,0.49823995372268953,0.43279004049264663,0.06897000578466381,0.8482399537226895
2025-02-28,0.779863860869111,0.3380544556523556,0.5729523513041889,0.08899319304345556,0.6880544556523556
2025-03-03,0.28145281075469664,0.5374188756981214,0.39850848376414383,0.06407264053773484,0.8874188756981214
2025-03-04,0.44556768223779775,0.47177292710488095,0.45594868878322925,0.07227838411188989,0.8217729271048808
2025-03-05,0.46344342226823587,0.46462263109270563,0.4622051977938826,0.0731721711134118,0.8146226310927056
2025-03-06,0.2613416678027273,0.5454633328789091,0.39146958373095453,0.06306708339013636,0.8954633328789091
2025-03-07,0.23514728289415124,0.5559410868423396,0.38230154901295293,0.061757364144707574,0.9059410868423395
2025-03-10,0.37613451205302706,0.4995461951787892,0.4316470792185595,0.06880672560265136,0.8495461951787892
2025-03-11,0.5922074631353007,0.41311701474587975,0.5072726120973552,0.07961037315676504,0.7631170147458797
2025-03-12,0.4334324831994586,0.47662700672021663,0.4517013691198105,0.07167162415997294,0.8266270067202166
2025-03-13,0.17233308067366662,0.5810667677305333,0.36031657823578334,0.05861665403368334,0.9310667677305333
